Player,Conference,Team,Age,Pos,PPG,RPG,APG
Trey Lyles,Western,SAC,29,PF,6.5,4.6,1.2
Trendon Watford,Eastern,BRK,24,PF,10.2,3.6,2.6
Ja'Kobe Walter,Eastern,TOR,20,SG,8.6,3.1,1.6
Brandon Boston Jr.,Western,NOP,23,SG,10.7,3.2,2.2
Simone Fontecchio,Eastern,DET,29,SF,6.0,2.9,0.9
Justin Edwards,Eastern,PHI,21,SF,10.1,3.4,1.6
Seth Curry,Eastern,CHO,34,SG,6.5,1.7,0.9
Luke Kornet,Eastern,BOS,29,C,6.0,5.3,1.6
Jay Huff,Western,MEM,26,C,6.9,2.0,0.6
Kenrich Williams,Western,OKC,30,PF,6.3,3.5,1.4
Donovan Clingan,Western,POR,20,C,6.5,7.9,1.1
Isaiah Stewart,Eastern,DET,23,C,6.0,5.5,1.7
Noah Clowney,Eastern,BRK,20,PF,9.1,3.9,0.9
Jamison Battle,Eastern,TOR,23,SF,7.1,2.7,0.9
Jeremiah Robinson-Earl,Western,NOP,24,PF,6.3,4.8,1.3
Vit Krejci,Eastern,ATL,24,PG,7.2,2.7,2.6
Trayce Jackson-Davis,Western,GSW,24,C,6.6,5.0,1.7
Moussa Diabat�,Eastern,CHO,23,C,5.7,6.2,0.8
Gary Payton II,Western,GSW,32,SG,6.5,3.0,1.3
Brandon Ingram,Western,NOP,27,SF,22.2,5.6,5.2
Day'Ron Sharpe,Eastern,BRK,23,C,7.9,6.6,1.8
Jonathan Mogbo,Eastern,TOR,23,PF,6.2,4.9,2.3
Moritz Wagner,Eastern,ORL,27,C,12.9,4.9,1.4
Sandro Mamukelashvili,Western,SAS,25,PF,6.3,3.1,0.8
Jaxson Hayes,Western,LAL,24,C,6.8,4.8,1.0
Alex Caruso,Western,OKC,30,SG,7.1,2.9,2.5
Jonathan Isaac,Eastern,ORL,27,PF,5.4,4.4,0.6
Talen Horton-Tucker,Eastern,CHI,24,SG,6.5,1.7,1.4
Precious Achiuwa,Eastern,NYK,25,C,6.7,5.6,1.0
Marcus Sasser,Eastern,DET,24,PG,6.6,1.2,2.3
Julian Phillips,Eastern,CHI,21,SF,4.6,2.1,0.5
Alec Burks,Eastern,MIA,33,SG,7.3,2.5,1.1
Tidjane Sala�n,Eastern,CHO,19,PF,5.9,4.7,1.2
Garrison Mathews,Eastern,ATL,28,SG,7.5,1.9,1.3
Jared McCain,Eastern,PHI,20,SG,15.3,2.4,2.6
Ryan Rollins,Eastern,MIL,22,PG,6.2,1.9,1.9
Kevon Looney,Western,GSW,28,C,4.5,6.1,1.6
Aaron Holiday,Western,HOU,28,PG,5.5,1.3,1.3
Quinten Post,Western,GSW,24,PF,8.1,3.5,1.3
Adem Bona,Eastern,PHI,21,C,5.8,4.2,0.5
Isaac Okoro,Eastern,CLE,24,SG,6.1,2.4,1.2
Svi Mykhailiuk,Western,UTA,27,SF,8.8,2.4,2.0
Mason Plumlee,Western,PHO,34,C,4.5,6.1,1.8
Ben Sheppard,Eastern,IND,23,SG,5.3,2.8,1.3
,,,,,,,
